record_id,service_name,category_id,category_label,student_need,intended_users,access_method,recommended_next_step,limitations,official_source_url,source_name,source_publisher,source_license_or_terms,source_retrieved_at,source_record_id,last_verified_date,review_status,actionable_summary,actionable_next_step,eligibility_or_requirements,access_steps,costs_or_coverage,contact_or_location,source_evidence_excerpt,extraction_status,content_last_checked_at,source_content_hash
candidate-cad3979bb02b4ff55ada,Primary Care Access Point,health_care,Healthcare access,Healthcare access: Primary Care Access Point.,Newcomer students in Quebec who need official public healthcare access information.,Registering with a family doctor or a specialized nurse practitioner in primary care,Review the official Gouvernement du Québec source page for Primary Care Access Point.,"The navigator does not diagnose, triage symptoms, or confirm service availability; for emergencies call 911 or go to an emergency department.",https://www.quebec.ca/en/health/finding-a-resource/primary-care-access-point,Registering with a family doctor or a specialized nurse practitioner in primary care,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T18:41:26+00:00,cad3979bb02b4ff55ada,2026-06-19,curated_for_directory_milestone,The Primary Care Access Point (GAP – Guichet d’accès à la première ligne) is a service for Quebecers who don't have a family doctor or specialized nurse practitioner in primary care (SNPPC) to help them find the health service that best meets their needs.,"If you don't have a family doctor or SNPPC and your situation seems to require a clinical assessment or a health or psychosocial service, you can make a request ( online or via the telephone hotline ) for someone to call you back.","For an urgent problem, you need to go to the emergency room .","If you don't have a family doctor or SNPPC and your situation seems to require a clinical assessment or a health or psychosocial service, you can make a request ( online or via the telephone hotline ) for someone to call you back. | If you have a family doctor or SNPPC, you won't be able to request a callback. However, you can use GAP's online service to find out which resource can help you based on your health needs. See the page Getting a medical consultation with a health professional if you have a family doctor or a special","Service in English is reserved for individuals covered by the exceptions stipulated in the Charter of the French language . If you have navigated to this content, you confirm in good faith that you are such an individual.",,The Primary Care Access Point (GAP – Guichet d’accès à la première ligne) is a service for Quebecers who don't have a family doctor or specialized nurse practitioner in primary care (SNPPC) to help them find the health service that best meets their needs.,enriched,2026-06-21T01:44:46+00:00,37c4d5a45661aed24b3277bfd40e05f9b53b5005857970edfe8440dffbd1dcb1
candidate-cb1f77880d868112a62a,Before an Emergency,health_care,Healthcare access,Healthcare access: Before an Emergency.,"McGill newcomer, international, exchange, and current students as applicable.",Before an Emergency,Review the official McGill University source page for Before an Emergency.,"The navigator does not diagnose, triage symptoms, or confirm service availability; for emergencies call 911 or go to an emergency department.",https://www.mcgill.ca/internationalstudents/health/access-healthcare,Access Health & Wellness Care,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:00+00:00,cb1f77880d868112a62a,2026-06-19,curated_for_directory_milestone,"If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource.","Local Wellness Advisors offer a great first step towards accessing care, whether on or off-campus. Contact: Phone: 514-398-7992",Other Physical and Mental Health Telehealth services may be available to you through your Student Union and Student Services fees.,"Local Wellness Advisors offer a great first step towards accessing care, whether on or off-campus. | McGill's Student Wellness Hub provides support for non‑urgent medical and mental health needs, offering integrated care with a focus on awareness, prevention, and early intervention. Students can book appointments for a range of non-urgent physical and mental health services, and the Hub can also he","If you consult a doctor (General practitioner & psychiatrist), you will be covered at 100% and the Hub will bill Medavie Blue Cross directly. Simply present your health insurance card at the time of your appointment; there is nothing to pay upfront. | All other clinical services available at the Hub (e.g. nurses, counselors, LWAs) are made possible by your student services fee. There is no additional fee to pay for these Hub services and your insurance provider will not be billed.","Phone: 514-398-7992 | Direct: tel:514-398-7992, tel:514-329-1999","If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource.",enriched,2026-06-21T01:44:47+00:00,1c6b98a29b2b18ccfeec8032c0d381b75b057a123eeeb794cede546a835b77b8
candidate-cc2fec1e3ff18ca7a7ef,On-Campus Work,work_career,Work and career support,Work and career support: On-Campus Work.,"McGill newcomer, international, exchange, and current students as applicable.",On-Campus Work,Review the official McGill University source page for On-Campus Work.,The navigator does not determine work authorization or job eligibility; confirm requirements with official McGill or government sources.,https://www.mcgill.ca/internationalstudents/work,Work | International Student Services - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,cc2fec1e3ff18ca7a7ef,2026-06-19,curated_for_directory_milestone,"As a full-time International McGill student, you can work both on campus and off-campus, but it's important to ensure that you have the right documents to do so legally.","Learn how to apply for a PGWP, meet language requirements, and understand new rules and regulations to qualify for the application process.","Find out who’s eligible to work on campus, how many hours you can work, and what documents you need—including your study permit and SIN. | Understand eligibility, work hour limits, and required documents for working off-campus—including new rules for summer breaks and program transitions.","Learn how to apply for a PGWP, meet language requirements, and understand new rules and regulations to qualify for the application process. | Learn about open work permits for spouses of full-time international students at McGill. Discover eligibility rules, application steps, and how long the permit lasts.",,,"As a full-time International McGill student, you can work both on campus and off-campus, but it's important to ensure that you have the right documents to do so legally.",enriched,2026-06-21T01:44:47+00:00,5cde4aa5da84915f86abbe7a7796392a4eb0bbb077d24ab1335b125c718292c0
candidate-ead82526cddf2686614c,McGill Financial Aid,finances,Financial aid and affordability,Financial aid and affordability: McGill Financial Aid.,"McGill newcomer, international, exchange, and current students as applicable.",McGill Financial Aid,Review the official McGill University source page for McGill Financial Aid.,The navigator does not determine financial-aid eligibility or award amounts; confirm requirements with the official funding office.,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,International student funding,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,ead82526cddf2686614c,2026-06-19,curated_for_directory_milestone,McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. This page points to the various funding opportunities that will help support these goals.,"Please visit McGill's publications site for various program calendars that provide comprehensive listings and information on awards. Contact: Direct: mailto:scholarships@mcgill.ca, mailto:student.aid@mcgill.ca",,"Please visit McGill's publications site for various program calendars that provide comprehensive listings and information on awards. | Scholarships and Student Aid administers need-based Financial Aid Programs for future and current undergraduates from Canada, US, and abroad. Our programs offer loans and bursaries to students in need of supplemental financial assistance and to those who are experiencing financial hardship. Internat","Scholarships and Student Aid administers need-based Financial Aid Programs for future and current undergraduates from Canada, US, and abroad. Our programs offer loans and bursaries to students in need of supplemental financial assistance and to those who are experiencing financial hardship. Internat | Tuition Payment Deferrals : useful for International students experiencing delays in their funding transfers. International students can initiate a fee deferral by submitting a Fee Deferral application in Minerva.","Direct: mailto:scholarships@mcgill.ca, mailto:student.aid@mcgill.ca",McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. ,enriched,2026-06-21T01:44:47+00:00,4aa1184aa76a0767a88a00e46be4ce77e0201d8fa083f4bee1b2744e914e597e
guidance-3058a95e44eb27e11ed4,Refusal to rent,housing,Housing and basic needs,Housing and basic needs: Refusal to rent.,Newcomer students in Quebec who need official settlement guidance.,Housing,Review the official Quebec guidance for Refusal to rent.,The navigator does not provide legal housing advice or determine tenant rights; confirm obligations and options with official housing or tenant resources.,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,Settle and integrate in Québec,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T17:58:32+00:00,3058a95e44eb27e11ed4,2026-06-19,curated_for_directory_milestone,This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec.,"By registering for the Accompagnement Québec integration service , an integration assistance agent (IAA) can assist you in discovering the regions of Québec while presenting you with job opportunities.",This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec. | Contact a community organization assisting immigrants who can put you in touch with other people,"By registering for the Accompagnement Québec integration service , an integration assistance agent (IAA) can assist you in discovering the regions of Québec while presenting you with job opportunities. | You can also attend information sessions about Québec in French or call on partner organizations, such as Emploi en région , to learn about life and employment in the regions.","Learning about the cost of living in Québec | Before immigrating to Québec, it is important to learn about the cost of living.",,This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec.,enriched,2026-06-21T01:44:47+00:00,a798c21138f5987bf62e6c3c9134bd31e4ec8d29305cb1161450e45c72d55fd6
guidance-3c488317249924fa8aaa,Information to provide,housing,Housing and basic needs,Housing and basic needs: Information to provide.,Newcomer students in Quebec who need official settlement guidance.,Housing,Review the official Quebec guidance for Information to provide.,The navigator does not provide legal housing advice or determine tenant rights; confirm obligations and options with official housing or tenant resources.,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,Settle and integrate in Québec,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T17:58:32+00:00,3c488317249924fa8aaa,2026-06-19,curated_for_directory_milestone,This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec.,"By registering for the Accompagnement Québec integration service , an integration assistance agent (IAA) can assist you in discovering the regions of Québec while presenting you with job opportunities.",This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec. | Contact a community organization assisting immigrants who can put you in touch with other people,"By registering for the Accompagnement Québec integration service , an integration assistance agent (IAA) can assist you in discovering the regions of Québec while presenting you with job opportunities. | You can also attend information sessions about Québec in French or call on partner organizations, such as Emploi en région , to learn about life and employment in the regions.","Learning about the cost of living in Québec | Before immigrating to Québec, it is important to learn about the cost of living.",,This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec.,enriched,2026-06-21T01:44:48+00:00,a798c21138f5987bf62e6c3c9134bd31e4ec8d29305cb1161450e45c72d55fd6
guidance-71d4e9ac089ca3ba69e6,Finding housing,housing,Housing and basic needs,Housing and basic needs: Finding housing.,Newcomer students in Quebec who need official settlement guidance.,Housing,Review the official Quebec guidance for Finding housing.,The navigator does not provide legal housing advice or determine tenant rights; confirm obligations and options with official housing or tenant resources.,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,Settle and integrate in Québec,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T17:58:32+00:00,71d4e9ac089ca3ba69e6,2026-06-19,curated_for_directory_milestone,This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec.,"By registering for the Accompagnement Québec integration service , an integration assistance agent (IAA) can assist you in discovering the regions of Québec while presenting you with job opportunities.",This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec. | Contact a community organization assisting immigrants who can put you in touch with other people,"By registering for the Accompagnement Québec integration service , an integration assistance agent (IAA) can assist you in discovering the regions of Québec while presenting you with job opportunities. | You can also attend information sessions about Québec in French or call on partner organizations, such as Emploi en région , to learn about life and employment in the regions.","Learning about the cost of living in Québec | Before immigrating to Québec, it is important to learn about the cost of living.",,This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec.,enriched,2026-06-21T01:44:48+00:00,a798c21138f5987bf62e6c3c9134bd31e4ec8d29305cb1161450e45c72d55fd6
mcgill-academic-advising,Academic Advising,academics,Academic and advising support,"McGill academic advising helps students navigate program requirements, course registration, and challenging academic situations, with advising geared to each stage of a student's academic career.","McGill students who need help with program requirements, course registration, and academic decisions.",Find an advisor: https://www.mcgill.ca/academic-advising/advisor-directory | Types of advisors: https://www.mcgill.ca/academic-advising/types-advisors | Courses and programs: https://www.mcgill.ca/students/courses/,Use the advisor directory to identify the right advisor for your faculty or program and contact them for personalized academic guidance.,Advising structures differ by faculty and program; the navigator does not make academic decisions or interpret individual program requirements.,https://www.mcgill.ca/academic-advising/,Academic Advising,McGill University,https://www.mcgill.ca/copyright/,2026-06-19,mcgill-academic-advising,2026-06-19,curated_for_directory_milestone,"The University strives to ensure that quality academic advising is available and accessible for all students, geared to each stage of the student’s academic career.","What do you do if you've read through all the information that you can find on your Faculty and department website, in the Course Catalogue, here on the Advising website and on the Courses and Program website and you're still stumped about what courses to register for or what to do about a difficult Contact: Find an advisor: https://www.mcgill.ca/academic-advising/advisor-directory","It's recommended that you check in with the advisor for each of your programs at least once a year, to make sure that you're meeting your program requirements and to discuss any questions that you might have.","What do you do if you've read through all the information that you can find on your Faculty and department website, in the Course Catalogue, here on the Advising website and on the Courses and Program website and you're still stumped about what courses to register for or what to do about a difficult",,Find an advisor: https://www.mcgill.ca/academic-advising/advisor-directory | Types of advisors: https://www.mcgill.ca/academic-advising/types-advisors | Courses and programs: https://www.mcgill.ca/students/courses/,"The University strives to ensure that quality academic advising is available and accessible for all students, geared to each stage of the student’s academic career.",enriched,2026-06-21T01:44:48+00:00,05a34a3bddc0f6583c8aa0e021f331208b3e5362bffde3141be9cb865353ddae
mcgill-access-care,Access Health and Wellness Care,health_care,Healthcare access,"If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource. Anyone living in Québec can also call Info-Santé, a free confidential telephone consultation service, at 811 to speak to a nurse 24/7.",International students seeking guidance on how to access healthcare in Quebec.,Local Wellness Advisors: https://www.mcgill.ca/wellness-hub/about-hub/clinicians/local-wellness-advisors | book appointments: https://www.mcgill.ca/wellness-hub/get-support | 514-398-7992: tel:514-398-7992 | 514-329-1999: tel:514-329-1999,Review the appropriate care route; for emergencies call 911 or go to the nearest emergency department.,"The navigator must not diagnose, recommend treatment, or determine whether symptoms are an emergency.",https://www.mcgill.ca/internationalstudents/health/access-healthcare,Access Health and Wellness Care,McGill University,https://www.mcgill.ca/copyright/,2026-06-12,mcgill-access-care,2026-06-12,curated_for_directory_milestone,"If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource.","Local Wellness Advisors offer a great first step towards accessing care, whether on or off-campus. Contact: Phone: 514-398-7992",Other Physical and Mental Health Telehealth services may be available to you through your Student Union and Student Services fees.,"Local Wellness Advisors offer a great first step towards accessing care, whether on or off-campus. | McGill's Student Wellness Hub provides support for non‑urgent medical and mental health needs, offering integrated care with a focus on awareness, prevention, and early intervention. Students can book appointments for a range of non-urgent physical and mental health services, and the Hub can also he","If you consult a doctor (General practitioner & psychiatrist), you will be covered at 100% and the Hub will bill Medavie Blue Cross directly. Simply present your health insurance card at the time of your appointment; there is nothing to pay upfront. | All other clinical services available at the Hub (e.g. nurses, counselors, LWAs) are made possible by your student services fee. There is no additional fee to pay for these Hub services and your insurance provider will not be billed.","Phone: 514-398-7992 | Direct: tel:514-398-7992, tel:514-329-1999","If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource.",enriched,2026-06-21T01:44:48+00:00,1c6b98a29b2b18ccfeec8032c0d381b75b057a123eeeb794cede546a835b77b8
mcgill-caps,Career Planning Service,work_career,Work and career support,"The Career Planning Service (CaPS), McGill’s central career services, supports student career and leadership development through career counselling and advising, skills development workshops, experiential learning, career exploration programs, mentoring, and career and networking events. CaPS provides and oversees a wide variety of resources and tools to help students search for part-time and summer jobs, internships and post-graduation opportunities, including the myFuture platform, and the Student Experience Record , with the goal of helping students become career-ready now and for their future.","McGill students seeking career advising, skills development, jobs, internships, and networking resources.",https://www.mcgill.ca/caps/students/services/advising,Review CaPS services and use the official advising route when personalized career support is needed.,Career support does not determine work authorization; international students should confirm permit rules separately.,https://www.mcgill.ca/caps/students/services/advising,Career Planning Service,McGill University,https://www.mcgill.ca/copyright/,2026-06-12,mcgill-caps,2026-06-12,curated_for_directory_milestone,Services and Programs Career Advising Career Development Workshops Accelerate Your Academic Job Search Seminar McGill Mentor Program Career Fairs On-Campus Recruitment (OCR) myFuture Job Shadowing Program First Job Club Future Interns Club,Career advising appointment can be conducted virtually or in-person . Advising appointments are held Monday to Friday between 9:30 AM and 4:30 PM. Contact: Phone: 514-398-3304,Eligible Alumni can now book their own appointments in the myFuture platform . Please review the alumni services eligibility requirements to confirm your eligibility to book an appointment.,"Career advising appointment can be conducted virtually or in-person . Advising appointments are held Monday to Friday between 9:30 AM and 4:30 PM. | Students can now book their own appointments in the myFuture platform . Please know that you can only have one appointment booked at a time. In the event that you cannot attend your appointment, please cancel so that your appointment time may be booked by another student.","For in-person appointments, please help us maintain a scent-free environment. Out of consideration for others who may have sensitivities or allergies, we ask that you avoid wearing heavily scented products.",Phone: 514-398-3304 | Direct: mailto:careers.caps@mcgill.ca,Services and Programs Career Advising Career Development Workshops Accelerate Your Academic Job Search Seminar McGill Mentor Program Career Fairs On-Campus Recruitment (OCR) myFuture Job Shadowing Program First Job Club Future Interns Club,enriched,2026-06-21T01:44:48+00:00,fed19e0ac5d19531a22f8108d3b6f17412caffb065f5b0cf0b0cd2e2c435fc24
mcgill-cle,Campus Life and Engagement,language_integration,Language and integration,"Campus Life & Engagement fosters, in collaboration with partners across McGill and the greater Montreal communities, a vibrant, engaging and inclusive McGill community, where we help every student find inspiration, a sense of belonging, and opportunities to lead, connect, and grow.","McGill students seeking orientation, mentorship, involvement, leadership, and community connections.",https://www.mcgill.ca/cle/,Review Campus Life and Engagement programs to identify a suitable involvement or connection opportunity.,"Program schedules, availability, and intended audiences should be confirmed on official program pages.",https://www.mcgill.ca/cle/,Campus Life and Engagement,McGill University,https://www.mcgill.ca/copyright/,2026-06-12,mcgill-cle,2026-06-12,curated_for_directory_milestone,"Campus Life & Engagement fosters, in collaboration with partners across McGill and the greater Montreal communities, a vibrant, engaging and inclusive McGill community, where we help every student find inspiration, a sense of belonging, and opportunities to lead, connect, and grow.",Contact: Direct: mailto:cle@mcgill.ca,Get support navigating resources available to you,,,Direct: mailto:cle@mcgill.ca,"Campus Life & Engagement fosters, in collaboration with partners across McGill and the greater Montreal communities, a vibrant, engaging and inclusive McGill community, where we help every student find inspiration, a sense of belonging, and opportunities to lead, connect, and grow.",partial,2026-06-21T01:44:49+00:00,b9d4567aca14f0b8c060b82d0eecfc60cafaf1ac5a49508f54313ef4389c80a8
mcgill-community-resources,Student Wellness Hub Community Resources,mental_health,Mental health and wellbeing,"There are many resources available to students in the broader health and social services community in Montreal and Quebec. Some are at no-cost, but many do have out-of-pocket fees or require you to submit claims to your health insurance. The information below may be subject to change. Please check with the resource for more details on eligibility, services, and/or costs.",McGill students seeking health or social-service resources in Montreal and Quebec.,Get support from our team.: https://www.mcgill.ca/wellness-hub/get-support/mental-health-support/find-mental-health-appointment | Tel : 514 285-5500: tel:514-285-5500 | Montreal Abortion Appointment Center: https://santemontreal.qc.ca/en/public/support-and-services/abortion-montreal-appointment-centre/ | 514 345-1356: tel:1-514-345-1356,"Review the relevant resource category and confirm services, eligibility, and costs with the provider.",Listings may change and may involve fees or insurance claims; inclusion does not guarantee suitability.,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,Student Wellness Hub Community Resources,McGill University,https://www.mcgill.ca/copyright/,2026-06-12,mcgill-community-resources,2026-06-12,curated_for_directory_milestone,Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,"Build Your Wellness Toolkit Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers Contact: Phone: (514)-244-1290, (514)-337-2473","There are many resources available to students in the broader health and social services community in Montreal and Quebec. Some are at no-cost, but many do have out-of-pocket fees or require you to submit claims to your health insurance. | The information below may be subject to change. Please check with the resource for more details on eligibility, services, and/or costs.",Build Your Wellness Toolkit Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers | Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers,Contact Us Online Booking Hub Policies Clinician Transfer Requests Submit Feedback | Online Booking Hub Policies Clinician Transfer Requests Submit Feedback,"Phone: (514)-244-1290, (514)-337-2473 | Direct: tel:514-285-5500, tel:1-514-345-1356, tel:1-514-345-1820",Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,enriched,2026-06-21T01:44:49+00:00,524ae11d7f4875faa08688225fbdfa5ecb39638b3ebe03dae1b388af656eafd4
mcgill-ihi,International Health Insurance,insurance,Health insurance and coverage,"ISS is open Mondays to Fridays, 10am - 4pm both in-person and virtually. Discover who is covered under the International Health Insurance (IHI).",International students who may be covered by McGill's International Health Insurance plan.,Contact Us: https://www.mcgill.ca/internationalstudents/ihi-contact-us | Contact ISS: https://www.mcgill.ca/internationalstudents/contact-us | Contact Medavie Blue Cross: https://www.mcgill.ca/internationalstudents/health/contact-medavie-blue-cross | Contact Us: https://www.mcgill.ca/internationalstudents/category/tags/contact-us,Confirm who is covered and review the official coverage-activation instructions.,"Coverage, exemptions, costs, and claim eligibility must be confirmed through official IHI sources.",https://www.mcgill.ca/internationalstudents/health/activate-ihi-coverage,International Health Insurance,McGill University,https://www.mcgill.ca/copyright/,2026-06-12,mcgill-ihi,2026-06-12,curated_for_directory_milestone,Click on International Health Insurance Menu (for students) .,Click on the Print IHI Card option from the menu in Step 3. Select the academic year and click Print Card to get your IHI card. Contact: Phone: 1-888-822-5383,"If your dependent rejoins the IHI plan in future terms, and there is a gap in coverage, please be aware that they will not be eligible for the two (2) weeks of complimentary coverage and that the preexisting conditions limitations (lifetime maximum of $20,000 CAD) may apply. | In order to be eligible to use the International Health Insurance contract and make claims: You must be a registered student at McGill University. You must pay for the coverage.",Click on the Print IHI Card option from the menu in Step 3. Select the academic year and click Print Card to get your IHI card. | Use the the electronic version of the McGill's IHI card obtained in Step 6 on a mobile device when accessing the Student Wellness Hub and Hospitals in Montreal.,Activate Your Coverage Cancelling your insurance policy | Select Confirm Coverage from the drop-down menu. (Congratulations! You have activated your IHI coverage),Phone: 1-888-822-5383,Click on International Health Insurance Menu (for students) .,enriched,2026-06-21T01:44:49+00:00,ea05564ef298b2af5c2f745f496f4626f73745ed474d26752678622eaa46ce35
mcgill-international-funding,International Student Funding,finances,Financial aid and affordability,McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. This page points to the various funding opportunities that will help support these goals. Newly admitted undergraduate students can apply to McGill’s Entrance Scholarship Program . In-course award programs for undergraduate students currently studying at McGill fall under individual faculty jurisdiction as do those for graduate students .,"International students exploring McGill scholarships, awards, financial aid, and related funding.",https://www.mcgill.ca/studentaid/scholarships-aid/international-students,Review the funding categories and follow the official application route for the relevant program.,Funding eligibility and application requirements vary by program and must be confirmed officially.,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,International Student Funding,McGill University,https://www.mcgill.ca/copyright/,2026-06-12,mcgill-international-funding,2026-06-12,curated_for_directory_milestone,McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. This page points to the various funding opportunities that will help support these goals.,"Please visit McGill's publications site for various program calendars that provide comprehensive listings and information on awards. Contact: Direct: mailto:scholarships@mcgill.ca, mailto:student.aid@mcgill.ca",,"Please visit McGill's publications site for various program calendars that provide comprehensive listings and information on awards. | Scholarships and Student Aid administers need-based Financial Aid Programs for future and current undergraduates from Canada, US, and abroad. Our programs offer loans and bursaries to students in need of supplemental financial assistance and to those who are experiencing financial hardship. Internat","Scholarships and Student Aid administers need-based Financial Aid Programs for future and current undergraduates from Canada, US, and abroad. Our programs offer loans and bursaries to students in need of supplemental financial assistance and to those who are experiencing financial hardship. Internat | Tuition Payment Deferrals : useful for International students experiencing delays in their funding transfers. International students can initiate a fee deferral by submitting a Fee Deferral application in Minerva.","Direct: mailto:scholarships@mcgill.ca, mailto:student.aid@mcgill.ca",McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. ,enriched,2026-06-21T01:44:50+00:00,4aa1184aa76a0767a88a00e46be4ce77e0201d8fa083f4bee1b2744e914e597e
mcgill-iss,International Student Services,immigration_status,Immigration and legal status,"ISS is open Mondays to Fridays, 10am - 4pm both in-person and virtually. Visit our work and permits web page for more information.","McGill international, exchange, and visiting students; service eligibility should be confirmed with ISS.",Contact Us: https://www.mcgill.ca/internationalstudents/ihi-contact-us | Contact ISS: https://www.mcgill.ca/internationalstudents/contact-us | Applying for Immigration Documents: https://www.mcgill.ca/internationalstudents/immigration-documents/documents | ISS on Facebook: https://www.facebook.com/mcgill.iss,Review the relevant ISS topic and contact ISS when individual guidance is needed.,The navigator must not interpret immigration documents or determine immigration eligibility.,https://www.mcgill.ca/internationalstudents/contact-us,International Student Services,McGill University,https://www.mcgill.ca/copyright/,2026-06-12,mcgill-iss,2026-06-12,curated_for_directory_milestone,Please do not send duplicate RFIs – this will slow down our processing.,Please do not call requesting an update on your RFI. Contact: Contact Us: https://www.mcgill.ca/internationalstudents/ihi-contact-us,,"Please do not call requesting an update on your RFI. | For newly admitted students, please sign up for our Virtual Drop in Advising Sessions and Pre-arrival Webinars .","ISS offers a host of services to international undergraduate and graduate degree students, exchange/visiting students, and other students who opt in to pay McGill Student Services fees.",Contact Us: https://www.mcgill.ca/internationalstudents/ihi-contact-us | Contact ISS: https://www.mcgill.ca/internationalstudents/contact-us | Applying for Immigration Documents: https://www.mcgill.ca/internationalstudents/immigration-documents/documents | ISS on Facebook: https://www.facebook.com/m,Please do not send duplicate RFIs – this will slow down our processing.,enriched,2026-06-21T01:44:50+00:00,96d030ac8b5bc7ba2b21ee9cdc0cffc1540d4f8dc0544654c3784bb38dff5e3b
mcgill-libraries,McGill Libraries,academics,Academic and advising support,"McGill Libraries provide research and learning support, including collections, the Sofia Discovery search tool, borrowing services, online databases and e-journals, research help, and study spaces for all McGill students.","McGill students who need research support, study spaces, borrowing services, and access to online resources.",Borrowing: https://www.mcgill.ca/libraries/using-libraries/borrowing-mcgill | Online resources: https://www.mcgill.ca/libraries/using-libraries/connect | Research services: https://www.mcgill.ca/libraries/research-services | Study areas: https://www.mcgill.ca/libraries/using-libraries/study-areas,"Use the Sofia Discovery search or the relevant library service page to find materials, research help, or study space.","Service hours, access, and borrowing rules vary by branch and membership; confirm current details on the official Libraries pages.",https://www.mcgill.ca/libraries/,McGill Libraries,McGill University,https://www.mcgill.ca/copyright/,2026-06-19,mcgill-libraries,2026-06-19,curated_for_directory_milestone,"McGill Libraries provide research and learning support, including collections, the Sofia Discovery search tool, borrowing services, online databases and e-journals, research help, and study spaces for all McGill students.",Contact: Borrowing: https://www.mcgill.ca/libraries/using-libraries/borrowing-mcgill,,,,Borrowing: https://www.mcgill.ca/libraries/using-libraries/borrowing-mcgill | Online resources: https://www.mcgill.ca/libraries/using-libraries/connect | Research services: https://www.mcgill.ca/libraries/research-services | Study areas: https://www.mcgill.ca/libraries/using-libraries/study-areas,"McGill Libraries provide research and learning support, including collections, the Sofia Discovery search tool, borrowing services, online databases and e-journals, research help, and study spaces for all McGill students.",partial,2026-06-21T01:44:51+00:00,165265e03f6d39109f655db2c67ea56971e4024eb475f1a349508011da173c41
